# doc_id=5-SPC-CS11-R1 Carbon Steel Pipe discipline=5 revision=R1
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Carbon Steel Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-CS11-R1,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,1.0,,39226.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Farah,,,,,,,T. Wacker,,,,,,,D. Shaw,,,,,,
,0.0,,37748.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K. Kamachi,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°F,,,-20 to 400,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,"1/8""",,
,,,,,,,Press.:,,,,psig,,,200.0,,,,,,,,FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(in)",,,,,,Nominal (NPS),,,,,,0.5,,,0.75,,,1.0,,,1.25,,,1.5,,,2.0,,,3.0,,,4.0,,,6.0,,,8.0,,,10.0,,,12.0,,,,,,,,,,,,,,
,,,,,,,Wall Thickness,,,,,,Schedule 160,,,,,,,,,,,,Schedule 80,,,,,,,,,,,,Schedule 40,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASME B36.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 106 Gr. B Seamless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Butt Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,ASME B16.9 (Schedule to match pipe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 234 Gr. WPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,RFSO/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,RF/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,RFSO/ASME B16.5 Class 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002: Bolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALVES,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN-LINE ITEMS,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,RF Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,See 5-LST-0011: Standard Piping Connections for Instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,See page 2 for branch connections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Pipe will be identified with a  painted (red) stripe along its entire length.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
